address,city,neighbourhood,bed,bath,type,style,walk_score,lot_size,age,size,listed_price,estimated_mortgage,property_tax,last_sold_price,last_sold_year
707 - 3800 Yonge Street,Toronto,Bedford Park-nortown,2,3,Condo Apt,Apartment,61,No Data,N,2000-2249 sqft,1899000.0,10319.0,6926,679000.0,2022
130 Santamonica Boulevard,Toronto,Clairlea-birchmount,3,2,SEMI-DETACHED,2-Storey,54,3000.0,No Data,No Data,849900.0,4603.0,2920,679000.0,2022
21 Indian Mound Crescent,Toronto,Woburn,3,2,Detached,Backsplit 4,72,4703.236000000001,No Data,No Data,869900.0,4718.0,3501,679000.0,2022
561 Arlington Avenue,Toronto,Humewood-cedarvale,3,3,Detached,2-Storey,51,2765.44,No Data,No Data,2750000.0,15069.0,5689,3600000.0,2022
162 Goulding Avenue,Toronto,Newtonbrook West,4+1,4,Detached,2-Storey,30,6600.0,16-30 years,No Data,2098000.0,11430.0,8380,679000.0,2005
2305 - 251 Manitoba Street,Toronto,Mimico,2,2,Condo Apt,Apartment,30,New,Restrict,800-899 sqft,805000.0,4344.0,8380,814999.0,2022
1110 - 5 Valhalla Inn Road,Toronto,Islington-city Centre West,1+1,1,Condo Apt,Apartment,30,No Data,Restrict,700-799 sqft,579000.0,3044.0,1801,429000.0,2018
105 - 2301 Danforth Avenue,Toronto,East End-danforth,1,1,Condo Apt,Apartment,30,0-5 years,Restrict,500-599 sqft,574900.0,3020.0,1776,599900.0,2022
902 - 1275 Markham Road,Toronto,Woburn,2+1,2,Condo Apt,Apartment,30,No Data,Restrict,1200-1399 sqft,548888.0,2871.0,1340,169000.0,2005
2107 - 21 Hillcrest Avenue,Toronto,Willowdale East,1+1,1,Condo Apt,Apartment,30,No Data,Restrict,700-799 sqft,599000.0,3159.0,2250,379900.0,2014
913 - 320 Richmond Street E,Toronto,Moss Park,1+1,2,Condo Apt,Apartment,30,No Data,Restrict,600-699 sqft,639000.0,3389.0,2275,339000.0,2012
917 - 38 Joe Shuster Way,Toronto,Niagara,1,1,Condo Apt,Apartment,30,No Data,Restrict,0-499 sqft,519900.0,2704.0,1327,239900.0,2014
2704 - 205 Wynford Drive,Toronto,Flemingdon Park,2+1,2,Condo Apt,Apartment,30,No Data,Restrict,1400-1599 sqft,995000.0,5438.0,2736,749000.0,2022
116 Pape Avenue,Toronto,South Riverdale,3,2,Detached,Bungalow,85,5040.0,No Data,No Data,2600000.0,14232.0,7059,749000.0,2022
13 Palmer Avenue,Toronto,Crescent Town,4+1,4,Detached,3-Storey,88,2000.0,No Data,No Data,1695000.0,9181.0,3393,308900.0,2006
80 Conn Smythe Drive,Toronto,Scarborough Village,2+1,3,Att/Row/Twnhouse,3-Storey,70,2370.9768000000004,No Data,No Data,769000.0,4137.0,2704,349000.0,2012
28 Muircrest Drive,Toronto,Parkwoods-donalda,3+1,3,Detached,Bungalow,59,6050.0,No Data,No Data,1099000.0,5855.0,5454,349000.0,2012
403 - 2000 Bloor Street W,Toronto,High Park North,1,1,Co-Op Apt,Apartment,59,No Data,Restrict,500-599 sqft,449000.0,2296.0,5454,349000.0,2012
211 - 3085 Bloor Street W,Toronto,Stonegate-queensway,2,2,Condo Apt,Apartment,59,16-30 years,Restrict,1000-1199 sqft,950000.0,5179.0,3815,1050000.0,2022
1912 - 225 Sackville Street,Toronto,Regent Park,1,1,Condo Apt,Apartment,59,No Data,Restrict,500-599 sqft,579900.0,3049.0,1788,485000.0,2018
Th 3 - 288 St Clair Avenue W,Toronto,Casa Loma,3+1,3,Condo Townhouse,3-Storey,59,6-10 years,Restrict,2000-2249 sqft,2195000.0,11971.0,8778,485000.0,2018
13 St. Bartholomew Street,Toronto,Regent Park,3,3,Condo Townhouse,3-Storey,59,6-10 years,Restrict,1200-1399 sqft,1099000.0,5855.0,3965,485000.0,2018
2404 - 78 Harrison Garden Boulevard,Toronto,Willowdale East,2+1,3,Condo Apt,Apartment,59,No Data,Restrict,2250-2499 sqft,1800000.0,9767.0,6275,485000.0,2018
4313 - 386 Yonge Street,Toronto,Bay Street Corridor,1+1,1,Condo Apt,Apartment,59,6-10 years,N,600-699 sqft,848800.0,4596.0,3200,2450.0,2020
960 St Clarens Avenue,Toronto,Corso Italia-davenport,3+1,2,Duplex,2-Storey,77,1175.89,No Data,No Data,1288000.0,6909.0,3608,2450.0,2020
960 St Clarens Avenue,Toronto,Corso Italia-davenport,3+1,2,Duplex,2-Storey,77,1175.89,No Data,No Data,1288000.0,6909.0,3608,2450.0,2020
169 Royal York Road,Toronto,Mimico,3,3,Detached,2-Storey,63,4025.0,No Data,No Data,1399000.0,7529.0,4367,999000.0,2017
134 Avon Avenue,Toronto,Junction Area,3,2,Detached,2-Storey,28,3602.7165999999997,No Data,No Data,1028000.0,5458.0,3495,1150000.0,2022
1229 Kingston Road,Toronto,Birchcliffe-cliffside,2+1,2,Detached,Bungalow,68,3936.3999999999996,No Data,No Data,994900.0,5437.0,3792,1150000.0,2022
134 Wolfrey Avenue,Toronto,South Riverdale,4,2,Detached,2 1/2 Storey,92,2201.1000000000004,No Data,2500-3000 sqft,1499800.0,8091.0,7333,1150000.0,2022
149 Sweeney Drive,Toronto,Victoria Village,3+1,3,Detached,Bungalow,25,8130.599999999999,No Data,No Data,2289000.0,12496.0,7817,1388800.0,2017
806 - 33 Mill Street,Toronto,Waterfront Communities C8,2,2,Condo Apt,Apartment,25,No Data,Restrict,800-899 sqft,965000.0,5265.0,3299,1388800.0,2017
56 Evans Avenue,Toronto,Mimico,3,3,Detached,2-Storey,60,3180.0,No Data,No Data,1299000.0,6971.0,3892,449900.0,2009
366 St John's Road,Toronto,Runnymede-bloor West Village,2+2,2,Detached,Bungalow,69,2823.7000000000003,No Data,700-1100 sqft,1099000.0,5855.0,4497,940000.0,2018
1235 Danforth Avenue,Toronto,Greenwood-coxwell,2+1,2,Att/Row/Twnhouse,3-Storey,87,298.9864,6-15 years,1100-1500 sqft,799000.0,4310.0,3229,549900.0,2013
62 Harrison Street,Toronto,Trinity-bellwoods,3,2,SEMI-DETACHED,2-Storey,87,2402.0,51-99 years,1500-2000 sqft,1599000.0,8645.0,7065,1879000.0,2022
252 Yonge Boulevard,Toronto,Bedford Park-nortown,4+1,4,Detached,2-Storey,35,6450.0,No Data,No Data,2950000.0,16185.0,9403,1879000.0,2022
511 - 55 De Boers Drive,Toronto,York University Heights,2+1,2,Condo Apt,Apartment,35,No Data,Restrict,1000-1199 sqft,789900.0,4257.0,3096,795000.0,2022
1131 - 60 Heintzman Street,Toronto,Junction Area,2,1,Condo Apt,Apartment,35,11-15 years,Restrict,800-899 sqft,624900.0,3308.0,2414,569000.0,2018
612 - 2359 Danforth Avenue,Toronto,East End-danforth,1+1,2,Condo Apt,Apartment,35,New,Restrict,500-599 sqft,709000.0,3792.0,2414,569000.0,2018
